Data Governance, 2300
Governance Structure, 2300
Operating Model, 2300
Policies & Standards, 2300
Monitoring & Measurement-Data profiling-Identify KDEs-Define profiling tests-data type,100
Monitoring & Measurement-Data profiling-Identify KDEs-Define profiling tests-min,100
Monitoring & Measurement-Data profiling-Identify KDEs-Define profiling tests-max,100
Monitoring & Measurement-Data profiling-Identify KDEs-Define profiling tests-string pattern,100
Monitoring & Measurement-Data profiling-Identify KDEs-Define profiling tests,100
Monitoring & Measurement-Data lineage-Identify KDEs-Systems listing,100
Monitoring & Measurement-Data lineage-Identify KDEs-Systems schematic,100
Monitoring & Measurement-Data lineage-Identify KDEs-Target report listing,100
Monitoring & Measurement-Data lineage-Identify KDEs-ETL logic analysis,100
Monitoring & Measurement-Data lineage-Identify KDEs-Source to target mapping,100
Monitoring & Measurement-Data lineage-Identify KDEs,100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Completeness-blank",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Completeness-null",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Completeness-reconciled",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Completeness",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Timeliness-Retention",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Timeliness-Arrive w/i SLA",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Timeliness-Loaded w/i SLA",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Accuracy",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Validity-within range (for given ccy)",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Validity-conforms to string pattern",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Validity-conforms to reqd data type",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Consistency-duplication",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Consistency-cardinality",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Integrity-Normalized",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Integrity",100
"Monitoring & Measurement-Data Quality-Identify KDEs-Define dimensions & metrics-Integrity",100
Monitoring & Measurement-Process-Identify KDEs-Identify processes-Capture process logic-Retest logic,100
Monitoring & Measurement-Process-Identify KDEs-Identify processes-Capture process logic,100
